Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA
2019-02-01,39.54610061645508,96.16578674316406,55.511573791503906,81.3115005493164,164.5605010986328,3.5881459712982178,20.81399917602539
2019-02-04,40.66941833496094,98.93529510498047,56.64302062988281,81.66549682617188,168.07595825195312,3.6984705924987793,20.859333038330078
2019-02-05,41.365234375,100.3200454711914,57.16160583496094,82.94049835205078,169.97268676757812,3.717560291290283,21.42333221435547
2019-02-06,41.37948989868164,99.20662689208984,55.723472595214844,82.01300048828125,169.30734252929688,3.7931764125823975,21.148000717163086
2019-02-07,40.59578323364258,98.49554443359375,54.88084030151367,80.71849822998047,165.22584533691406,3.6548359394073486,20.500667572021484
2019-02-08,40.643489837646484,98.86979675292969,54.70566177368164,79.41100311279297,166.1692352294922,3.6734304428100586,20.386667251586914
2019-02-11,40.409759521484375,98.47684478759766,54.69275665283203,79.55000305175781,164.6399383544922,3.630789041519165,20.856000900268555
2019-02-12,40.757972717285156,100.01130676269531,55.956207275390625,81.90049743652344,163.89515686035156,3.7478065490722656,20.78733253479004
2019-02-13,40.5886344909668,99.9364242553711,56.00831985473633,82.0,162.931884765625,3.79020094871521,20.544666290283203
2019-02-14,40.73650360107422,100.02063751220703,56.03660202026367,81.13249969482422,162.81271362304688,3.8311073780059814,20.251333236694336
2019-02-15,40.645877838134766,101.2557144165039,55.56169128417969,80.39749908447266,161.3727569580078,3.900773048400879,20.525333404541016
2019-02-19,40.767513275146484,101.20891571044922,55.903106689453125,81.37899780273438,161.16421508789062,3.883418560028076,20.375999450683594
2019-02-20,41.02986526489258,100.68269348144531,55.60933303833008,81.1050033569336,161.4323272705078,3.9307708740234375,20.17066764831543
2019-02-21,40.798500061035156,102.80631256103516,54.796470642089844,80.97200012207031,158.92982482910156,3.861849784851074,19.415332794189453
2019-02-22,41.25406265258789,104.27214050292969,55.40934371948242,81.5780029296875,160.76699829101562,3.946638584136963,19.6473331451416
2019-02-25,41.55457305908203,104.85474395751953,55.44755172729492,81.6500015258789,163.47804260253906,3.9342432022094727,19.917999267578125
2019-02-26,41.578426361083984,105.57825469970703,55.67979431152344,81.81999969482422,162.99147033691406,3.894822835922241,19.857332229614258
2019-02-27,41.70722198486328,105.39971923828125,55.723472595214844,82.05449676513672,161.68060302734375,3.8529248237609863,20.982667922973633
2019-02-28,41.29697799682617,105.26817321777344,55.90510177612305,81.99150085449219,160.3300323486328,3.828355312347412,21.325332641601562
2019-03-01,41.7310676574707,105.73797607421875,56.995365142822266,83.58650207519531,161.154296875,3.8827059268951416,19.652666091918945
2019-03-04,41.940948486328125,105.48429870605469,57.238525390625,84.80850219726562,166.208984375,3.890895128250122,19.02400016784668
2019-03-05,41.8646354675293,104.95807647705078,58.02110290527344,84.62149810791016,170.07199096679688,3.8844432830810547,18.43600082397461
2019-03-06,41.62373733520508,105.00505828857422,57.81020736694336,83.44750213623047,171.31332397460938,3.7735085487365723,18.416000366210938
2019-03-07,41.141963958740234,103.72714233398438,57.11098861694336,81.29750061035156,167.95677185058594,3.7042672634124756,18.439332962036133
2019-03-08,41.23974609375,103.83992004394531,57.067317962646484,81.04000091552734,168.42352294921875,3.7385165691375732,18.94266700744629
2019-03-11,42.66838073730469,106.01986694335938,58.520835876464844,83.53099822998047,170.8763885498047,3.9991018772125244,19.39466667175293
2019-03-12,43.14778518676758,106.76219940185547,59.4135856628418,83.65499877929688,170.72743225097656,4.03334903717041,18.890666961669922
2019-03-13,43.33857727050781,107.58910369873047,59.50340270996094,84.54049682617188,172.1673583984375,4.1847357749938965,19.263999938964844
2019-03-14,43.82036590576172,107.67365264892578,59.17935562133789,84.31099700927734,168.98956298828125,4.10879373550415,19.33066749572754
2019-03-15,44.39038848876953,108.91399383544922,59.06869888305664,85.61799621582031,164.82861328125,4.214267730712891,18.36199951171875
2019-03-18,44.843536376953125,110.47379302978516,58.98185348510742,87.10749816894531,159.35684204101562,4.192925930023193,17.965999603271484
2019-03-19,44.4881706237793,110.54896545410156,59.6721305847168,88.09249877929688,160.44923400878906,4.360691547393799,17.83133316040039
2019-03-20,44.8769416809082,110.42681884765625,60.86164855957031,89.8635025024414,164.2923583984375,4.32818078994751,18.239999771118164
